batch_id,carbon_pct,manganese_pct,furnace_temp_C,rolling_speed_mps,cooling_rate_Cps,defect
B101529,0.266,0.285,1631.2,23.56,16.09,0
B101530,0.417,1.278,1635.1,17.41,16.88,0
B101531,0.188,1.085,1647.9,10.02,21.62,0
B101532,0.439,0.926,1694.0,28.98,20.2,0
B101533,0.382,0.768,1666.5,18.24,15.58,0
B101534,0.344,0.741,1624.2,13.67,16.82,1
B101535,0.209,0.577,1649.7,17.51,16.99,1
B101536,0.462,0.771,1551.3,15.22,6.18,0
B101537,0.336,0.264,1642.7,15.84,14.06,0
B101538,0.26,0.679,1544.7,18.67,16.49,0
B101539,0.055,0.807,1579.8,30.38,17.75,1
B101540,0.397,1.083,1450.0,16.0,9.45,1
B101541,0.613,0.888,1622.1,29.96,7.39,0
B101542,0.599,1.138,1564.6,25.09,13.59,1
B101543,0.345,1.305,1661.1,22.38,26.8,1
B101544,0.328,1.217,1621.5,24.49,10.08,0
B101545,0.456,1.041,1661.8,20.08,22.04,0
B101546,0.28,0.904,1540.4,27.72,24.51,1
B101547,0.436,0.606,1657.1,23.4,15.27,0
B101548,0.492,1.122,1715.8,10.01,10.92,1
B101549,0.547,1.404,1642.0,21.78,18.08,0
B101550,0.388,1.003,1643.5,24.7,16.17,0
B101551,0.376,1.475,1609.3,18.27,9.85,0
B101552,0.295,0.442,1571.1,20.76,11.05,0
B101553,0.301,0.554,1641.9,16.32,17.72,1
B101554,0.373,1.157,1517.2,11.73,20.6,0
B101555,0.444,0.979,1577.0,10.7,13.06,0
B101556,0.51,1.294,1502.6,10.78,14.59,0
B101557,0.304,0.895,1561.3,24.01,19.01,0
B101558,0.579,0.64,1635.3,5.06,13.97,0
B101559,0.367,0.836,1627.8,16.0,13.2,0
B101560,0.397,0.44,1602.8,15.41,10.47,0
B101561,0.31,0.561,1609.4,18.31,10.36,0
B101562,0.109,1.192,1496.3,8.86,31.01,1
B101563,0.506,1.162,1579.5,22.42,13.82,0
B101564,0.488,1.009,1562.5,12.36,23.19,0
B101565,0.366,0.384,1563.8,26.79,25.1,1
B101566,0.408,0.792,1633.0,16.27,13.9,0
B101567,0.462,0.533,1552.7,19.43,17.21,0
B101568,0.212,1.253,1566.7,20.02,15.61,0
B101569,0.337,0.725,1485.2,21.47,5.33,1
B101570,0.495,0.574,1583.8,20.22,5.69,1
B101571,0.249,0.909,1540.2,17.44,15.29,0
B101572,0.435,0.708,1604.4,22.06,12.45,0
B101573,0.237,1.345,1547.7,22.8,26.35,0
B101574,0.456,0.68,1605.7,15.41,13.58,0
B101575,0.396,0.48,1592.0,22.56,26.71,1
B101576,0.206,0.254,1692.0,27.15,12.14,0
B101577,0.54,0.891,1627.3,24.24,26.47,0
B101578,0.312,0.731,1498.8,25.59,18.04,1
B101579,0.303,0.471,1530.4,21.03,18.38,1
B101580,0.424,1.257,1603.0,14.38,11.93,0
B101581,0.538,1.1,1548.9,15.14,18.46,0
B101582,0.278,0.892,1450.0,21.92,25.16,1
B101583,0.407,1.309,1674.2,25.66,14.13,0
B101584,0.451,1.099,1639.6,36.72,12.96,0
B101585,0.483,0.653,1628.7,25.89,13.52,1
B101586,0.421,0.588,1566.6,12.98,24.72,0
B101587,0.356,1.145,1623.5,15.4,20.13,1
B101588,0.301,1.019,1561.3,33.67,23.69,0
B101589,0.41,0.951,1611.3,18.71,16.88,0
B101590,0.271,0.646,1549.4,20.29,15.24,0
B101591,0.05,1.082,1683.4,14.24,17.54,0
B101592,0.452,0.673,1513.6,29.39,21.42,1
B101593,0.508,0.869,1667.8,23.0,13.52,0
B101594,0.116,1.334,1602.1,15.35,23.21,1
B101595,0.279,0.702,1573.1,14.04,17.19,0
B101596,0.474,0.428,1609.2,21.84,2.0,0
B101597,0.647,0.584,1640.3,20.27,20.3,1
B101598,0.402,1.198,1675.2,24.99,7.37,1
B101599,0.313,0.976,1617.2,23.28,20.16,0
B101600,0.378,0.861,1551.0,18.41,20.41,0
B101601,0.565,0.747,1603.1,16.74,16.98,0
B101602,0.322,1.046,1699.9,19.04,18.26,1
B101603,0.304,0.645,1674.1,16.7,21.59,1
B101604,0.342,0.992,1650.0,19.22,12.03,0
B101605,0.286,0.681,1643.8,20.1,19.76,0
B101606,0.415,0.631,1638.5,14.61,21.98,0
B101607,0.595,0.709,1663.7,23.78,25.56,1
B101608,0.439,0.787,1574.9,17.78,8.37,1
B101609,0.37,0.885,1525.5,14.95,17.45,0
B101610,0.365,0.971,1603.8,17.89,9.23,1
B101611,0.212,0.1,1555.0,21.45,8.98,1
B101612,0.506,0.658,1542.0,20.5,17.15,0
B101613,0.391,0.783,1560.4,22.53,15.46,0
B101614,0.378,1.352,1736.7,25.39,21.87,1
B101615,0.783,0.576,1607.5,27.83,12.92,0
B101616,0.436,0.949,1619.9,21.71,14.2,0
B101617,0.31,1.349,1532.8,13.58,16.27,1
B101618,0.349,0.506,1498.6,18.39,9.83,1
B101619,0.538,1.018,1555.0,13.97,10.66,1
B101620,0.414,0.659,1679.1,30.18,21.7,1
B101621,0.227,0.749,1618.4,31.92,11.71,0
B101622,0.51,0.659,1632.9,23.9,22.09,1
B101623,0.32,0.68,1640.6,25.15,18.64,0
B101624,0.625,1.717,1567.5,21.51,5.71,1
B101625,0.53,1.153,1676.3,22.2,18.18,1
B101626,0.346,1.231,1565.2,10.42,18.13,0
B101627,0.554,1.048,1677.3,19.56,17.54,1
B101628,0.408,0.418,1624.3,14.71,14.15,0
B101629,0.502,1.018,1501.6,21.69,9.36,1
B101630,0.458,1.222,1558.9,19.64,23.08,0
B101631,0.298,0.644,1501.8,31.68,14.39,1
B101632,0.323,1.19,1664.0,25.5,9.7,0
B101633,0.524,1.111,1598.6,21.71,17.74,1
B101634,0.36,1.456,1477.4,18.4,10.54,0
B101635,0.352,0.775,1620.7,30.06,9.31,0
B101636,0.285,0.571,1570.5,19.82,12.75,0
B101637,0.451,0.792,1518.4,21.99,11.01,0
B101638,0.648,1.331,1692.3,20.25,9.53,0
B101639,0.272,0.351,1605.9,17.58,19.84,0
B101640,0.403,0.279,1583.9,20.22,14.32,0
B101641,0.569,0.927,1578.0,8.23,22.51,1
B101642,0.39,0.767,1516.8,10.71,9.87,0
B101643,0.454,0.902,1528.2,22.1,4.63,0
B101644,0.273,1.184,1670.7,29.41,15.89,0
B101645,0.451,0.734,1573.9,22.09,26.14,0
B101646,0.378,0.338,1601.2,15.68,18.19,0
B101647,0.518,1.513,1487.6,11.34,34.29,1
B101648,0.542,0.601,1527.5,24.71,16.99,0
B101649,0.711,0.582,1633.5,16.6,16.41,1
B101650,0.47,1.231,1620.8,23.86,2.07,0
B101651,0.439,0.785,1696.4,22.34,17.57,0
B101652,0.423,0.881,1673.9,22.87,16.01,0
B101653,0.358,1.045,1587.3,20.2,12.56,0
B101654,0.441,1.225,1626.0,22.3,14.18,0
B101655,0.365,0.8,1582.6,19.28,14.59,0
B101656,0.42,1.356,1713.0,16.19,13.92,0
B101657,0.558,0.259,1663.2,14.22,27.54,1
B101658,0.279,1.128,1609.3,5.69,12.77,0
B101659,0.537,0.648,1611.0,18.91,16.02,0
B101660,0.558,1.312,1679.5,29.12,12.58,1
B101661,0.386,0.943,1631.9,24.38,19.7,0
B101662,0.145,0.698,1685.7,21.37,16.06,1
B101663,0.327,1.099,1479.3,15.6,13.32,1
B101664,0.556,1.168,1625.4,25.98,3.44,0
B101665,0.397,1.093,1571.7,19.28,16.46,0
B101666,0.28,0.591,1696.6,29.45,13.14,1
B101667,0.339,0.755,1685.1,14.11,14.64,0
B101668,0.501,0.899,1601.8,15.5,7.91,0
B101669,0.466,0.888,1684.5,14.92,23.6,0
B101670,0.371,1.125,1698.1,11.11,20.14,0
B101671,0.356,0.296,1604.1,14.38,23.58,0
B101672,0.353,1.0,1736.0,20.62,21.88,1
B101673,0.289,0.813,1598.3,15.73,18.55,0
B101674,0.594,0.648,1588.2,5.0,8.15,0
B101675,0.361,0.677,1647.6,26.45,26.06,0
B101676,0.546,0.836,1580.5,9.9,9.43,0
B101677,0.583,0.1,1604.7,23.54,13.39,0
B101678,0.52,0.69,1677.5,20.19,19.24,0
B101679,0.348,0.637,1601.1,32.7,19.54,0
B101680,0.448,1.06,1506.8,25.98,18.43,0
B101681,0.397,0.658,1620.2,16.97,12.6,0
B101682,0.292,0.835,1561.7,15.79,11.36,0
B101683,0.439,1.363,1647.6,29.02,30.21,1
B101684,0.259,1.198,1638.3,11.14,14.76,0
B101685,0.543,1.171,1680.9,21.15,14.03,0
B101686,0.344,0.75,1649.9,19.21,10.72,0
B101687,0.424,1.063,1660.0,17.94,16.47,0
B101688,0.434,0.83,1563.2,22.12,16.19,0
B101689,0.369,0.841,1644.2,21.14,14.9,0
B101690,0.47,1.023,1708.3,22.74,17.29,1
B101691,0.343,0.721,1562.1,20.83,25.58,0
B101692,0.505,1.348,1699.0,22.51,11.43,1
B101693,0.238,0.852,1569.8,20.56,15.26,0
B101694,0.415,1.086,1553.1,16.04,11.11,1
B101695,0.633,1.337,1616.3,20.02,16.77,0
B101696,0.28,1.209,1639.4,15.71,11.59,0
B101697,0.319,0.477,1650.1,15.32,11.85,1
B101698,0.462,1.033,1547.1,17.98,6.24,0
B101699,0.422,1.155,1623.9,19.28,15.59,0
B101700,0.442,1.168,1562.3,20.21,17.58,0
B101701,0.459,0.566,1518.1,25.5,26.16,0
B101702,0.476,0.703,1548.9,17.01,17.82,1
B101703,0.533,1.198,1558.7,21.18,12.3,0
B101704,0.449,0.671,1628.7,20.71,6.84,0
B101705,0.371,0.81,1663.4,16.35,7.67,0
B101706,0.481,1.373,1519.0,20.44,7.23,1
B101707,0.628,0.886,1619.4,26.02,26.27,0
B101708,0.384,0.682,1535.3,21.12,16.73,1
B101709,0.283,0.637,1634.6,21.36,11.5,0
B101710,0.533,1.0,1565.7,15.77,9.24,0
B101711,0.386,0.5,1542.2,31.81,9.86,1
B101712,0.139,0.826,1644.0,16.11,11.34,1
B101713,0.502,1.0,1567.7,9.99,22.9,0
B101714,0.336,1.29,1582.6,25.16,14.82,0
B101715,0.389,1.1,1477.9,19.31,6.32,1
B101716,0.44,0.686,1652.1,18.18,28.86,1
B101717,0.423,1.254,1645.1,16.73,8.16,1
B101718,0.485,0.81,1600.3,31.23,11.45,0
B101719,0.348,0.529,1516.0,22.13,22.86,1
B101720,0.462,0.848,1666.5,23.3,17.49,0
B101721,0.369,1.331,1563.4,20.98,12.18,0
B101722,0.489,0.95,1575.1,21.62,7.61,0
B101723,0.474,0.904,1727.2,28.39,9.2,1
B101724,0.288,1.391,1561.3,18.49,9.56,0
B101725,0.53,0.471,1640.8,11.26,15.04,0
B101726,0.336,0.514,1630.9,25.21,16.15,0
B101727,0.497,0.415,1621.5,22.98,14.11,0
B101728,0.444,1.012,1615.5,20.65,14.76,0
B101729,0.621,0.95,1620.7,22.82,8.7,0
B101730,0.373,1.363,1615.0,17.78,16.76,0
B101731,0.358,0.973,1597.1,20.12,22.68,0
B101732,0.398,0.779,1683.1,19.21,14.02,0
B101733,0.364,0.901,1527.8,16.45,13.91,1
B101734,0.496,0.935,1656.2,27.14,15.5,0
B101735,0.206,0.398,1645.2,11.53,21.71,0
B101736,0.274,1.713,1638.4,34.17,9.63,0
B101737,0.272,1.056,1661.4,25.26,23.71,1
B101738,0.514,0.963,1594.9,9.33,17.53,1
B101739,0.605,1.085,1497.2,18.66,15.17,1
B101740,0.387,1.113,1596.0,18.99,22.28,0
B101741,0.38,0.858,1545.5,22.35,7.91,0
B101742,0.408,0.711,1559.7,14.06,18.13,0
B101743,0.539,1.08,1531.7,20.19,17.58,0
B101744,0.289,1.016,1573.7,19.27,9.39,0
B101745,0.429,0.657,1567.2,15.57,17.76,0
B101746,0.517,1.326,1469.2,14.74,16.7,1
B101747,0.46,0.988,1638.5,25.51,13.93,0
B101748,0.423,1.119,1722.1,9.82,20.18,1
B101749,0.52,1.318,1633.3,22.87,11.57,0
B101750,0.076,0.907,1588.8,24.79,16.62,1
B101751,0.481,0.995,1597.0,18.69,14.21,1
B101752,0.322,1.143,1576.8,20.31,11.31,0
B101753,0.18,0.683,1605.0,26.98,18.02,0
B101754,0.461,0.916,1598.0,15.77,13.75,0
B101755,0.565,0.938,1553.7,16.39,6.16,0
B101756,0.384,0.613,1692.6,17.03,4.19,1
B101757,0.514,1.595,1518.2,26.99,19.73,0
B101758,0.593,0.478,1639.5,27.75,7.68,1
B101759,0.558,0.511,1594.4,11.62,16.68,0
B101760,0.597,1.294,1704.5,26.04,15.33,1
B101761,0.489,1.114,1618.7,24.91,12.79,0
B101762,0.409,0.592,1580.2,29.32,26.74,0
B101763,0.208,1.082,1586.4,22.31,16.08,0
B101764,0.37,1.34,1602.2,19.73,19.53,0
B101765,0.299,0.891,1537.1,26.87,16.71,1
B101766,0.661,1.68,1557.8,24.19,13.61,0
B101767,0.379,0.383,1501.8,33.47,14.89,1
B101768,0.415,1.108,1549.2,25.75,23.75,0
B101769,0.466,1.25,1605.2,20.92,21.53,0
B101770,0.405,1.167,1616.5,12.96,26.71,0
B101771,0.603,0.839,1491.1,16.51,16.33,1
B101772,0.325,0.813,1592.5,11.38,9.74,0
B101773,0.423,1.033,1631.0,18.71,12.36,0
B101774,0.311,1.145,1591.0,25.56,7.87,0
B101775,0.242,1.081,1565.1,19.98,19.6,0
B101776,0.327,1.212,1577.3,26.13,11.48,0
B101777,0.396,0.594,1570.3,22.03,2.0,0
B101778,0.348,0.832,1565.0,17.58,29.78,0
B101779,0.317,0.618,1609.6,20.53,11.58,0
B101780,0.231,0.784,1726.9,22.83,11.54,0
B101781,0.39,1.205,1559.1,20.84,25.03,0
B101782,0.219,0.932,1582.5,20.9,7.75,0
B101783,0.491,1.682,1597.2,15.39,21.82,0
B101784,0.41,0.958,1562.2,17.4,11.48,0
B101785,0.225,0.918,1660.4,33.55,7.06,0
B101786,0.363,0.932,1469.6,27.37,25.23,1
B101787,0.31,0.709,1570.8,11.16,20.54,1
B101788,0.438,0.883,1645.0,5.8,20.52,0
B101789,0.561,1.238,1583.8,20.46,17.21,0
B101790,0.175,0.934,1554.9,25.36,18.59,1
B101791,0.414,0.662,1624.2,16.88,7.61,0
B101792,0.381,0.622,1649.8,26.13,15.67,0
B101793,0.481,0.765,1611.6,20.36,9.43,0
B101794,0.426,0.922,1555.9,19.02,6.67,0
B101795,0.31,1.258,1625.1,24.54,17.47,0
B101796,0.362,0.498,1577.9,16.81,21.95,0
B101797,0.304,0.804,1641.0,18.28,12.7,0
B101798,0.529,0.943,1681.6,24.02,13.73,1
B101799,0.403,0.35,1456.7,19.81,8.17,1
B101800,0.628,0.65,1606.1,31.45,15.04,0
B101801,0.393,0.696,1504.5,24.16,19.56,1
B101802,0.315,0.661,1734.3,23.77,19.75,1
B101803,0.218,0.958,1574.3,19.7,18.27,1
B101804,0.184,0.852,1641.1,25.25,11.29,0
B101805,0.21,0.733,1598.1,18.06,11.1,0
B101806,0.432,1.028,1555.8,21.69,19.77,0
B101807,0.461,1.417,1549.3,14.5,19.87,0
B101808,0.21,1.392,1687.2,26.24,13.97,0
B101809,0.507,0.323,1652.6,21.74,12.44,0
B101810,0.342,1.073,1706.9,31.9,22.0,0
B101811,0.418,0.847,1603.0,34.35,12.84,0
B101812,0.593,0.947,1615.8,24.58,19.48,0
B101813,0.508,0.781,1585.3,20.41,14.18,0
B101814,0.368,0.935,1584.2,14.32,8.71,0
B101815,0.293,0.945,1542.7,25.43,24.67,0
B101816,0.142,0.726,1604.6,21.26,15.72,1
B101817,0.314,0.631,1556.6,23.23,10.74,1
B101818,0.375,0.765,1624.3,30.38,6.66,0
B101819,0.282,0.97,1609.4,15.05,7.26,0
B101820,0.384,1.08,1615.8,14.45,12.76,0
B101821,0.409,1.156,1692.1,18.58,26.55,1
B101822,0.373,0.752,1597.9,24.93,11.49,0
B101823,0.322,0.985,1641.6,23.33,23.68,0
B101824,0.42,1.189,1712.8,14.63,14.22,1
B101825,0.453,1.25,1671.9,24.54,7.91,0
B101826,0.269,0.882,1663.4,12.79,12.16,0
B101827,0.569,0.834,1583.1,14.97,7.31,0
B101828,0.388,0.957,1612.6,19.31,9.86,0
B101829,0.402,0.555,1527.5,16.68,9.69,1
B101830,0.485,0.842,1627.4,25.34,3.58,0
B101831,0.428,1.123,1615.1,21.72,24.08,0
B101832,0.514,1.093,1601.3,30.59,16.27,0
B101833,0.434,0.819,1656.5,18.52,10.88,0
B101834,0.327,0.965,1533.6,19.27,16.33,0
B101835,0.443,0.653,1689.9,27.26,9.99,1
B101836,0.263,1.111,1649.6,19.45,2.0,0
B101837,0.413,0.877,1596.1,28.96,32.74,1
B101838,0.396,0.817,1591.8,23.24,16.14,0
B101839,0.375,0.791,1626.4,5.88,11.47,0
B101840,0.385,0.881,1683.6,27.07,3.4,0
B101841,0.174,0.766,1605.6,25.48,6.04,0
B101842,0.334,1.097,1607.9,25.71,24.93,0
B101843,0.411,0.781,1601.0,8.53,24.01,0
B101844,0.419,1.378,1698.0,16.02,19.52,0
B101845,0.277,1.34,1579.7,16.47,8.31,0
B101846,0.552,0.633,1598.4,14.95,24.06,0
B101847,0.296,0.921,1680.5,30.45,17.7,0
B101848,0.516,0.705,1608.1,19.93,18.93,1
B101849,0.451,0.802,1662.5,19.78,17.68,0
B101850,0.322,1.501,1549.9,23.31,5.96,0
B101851,0.613,0.808,1588.7,23.42,7.81,0
B101852,0.257,1.008,1681.6,5.0,11.94,0
B101853,0.51,1.062,1562.8,16.12,18.86,0
B101854,0.52,0.6,1591.7,11.52,6.72,0
B101855,0.32,0.643,1614.1,22.4,13.95,0
B101856,0.567,0.538,1545.6,18.27,13.94,0
B101857,0.37,0.634,1577.2,20.09,19.76,0
B101858,0.435,0.1,1606.2,7.53,19.05,1
B101859,0.431,1.063,1602.6,18.14,8.94,0
B101860,0.384,1.516,1670.4,26.69,23.68,0
B101861,0.497,0.944,1684.8,28.46,8.02,0
B101862,0.495,0.475,1552.9,24.31,21.55,1
B101863,0.19,0.707,1606.1,11.99,11.7,0
B101864,0.557,0.762,1637.1,27.56,15.98,0
B101865,0.201,0.595,1683.4,24.34,16.36,0
B101866,0.524,1.158,1639.5,19.3,16.19,0
B101867,0.535,1.143,1616.0,7.85,19.05,1
B101868,0.269,0.553,1636.7,25.72,17.35,0
B101869,0.351,1.118,1637.1,16.45,19.7,0
B101870,0.267,1.358,1549.0,22.08,17.79,0
B101871,0.374,1.471,1610.6,20.41,7.41,0
B101872,0.363,1.76,1680.3,29.23,16.62,1
B101873,0.494,0.629,1588.6,19.25,11.62,0
B101874,0.557,1.747,1607.1,19.91,8.34,0
B101875,0.567,0.794,1586.7,29.47,13.26,0
B101876,0.333,0.722,1472.7,16.05,16.1,0
B101877,0.375,0.998,1601.1,24.89,16.5,0
B101878,0.198,0.725,1616.6,18.81,21.34,0
B101879,0.303,1.02,1571.8,13.98,22.84,1
B101880,0.516,0.504,1536.5,20.01,17.02,0
B101881,0.594,0.828,1551.6,24.15,18.1,0
B101882,0.252,1.286,1642.0,28.12,15.57,0
B101883,0.329,0.883,1708.5,28.85,19.6,1
B101884,0.397,0.942,1676.0,18.23,17.92,1
B101885,0.434,1.043,1526.1,14.08,14.67,0
B101886,0.303,1.251,1647.0,18.09,27.91,0
B101887,0.451,0.403,1563.5,12.91,11.72,0
B101888,0.343,1.075,1568.0,18.7,23.73,0
B101889,0.398,0.82,1574.6,17.95,6.87,0
B101890,0.466,0.95,1638.8,24.36,19.88,1
B101891,0.401,1.218,1652.8,6.76,23.62,0
B101892,0.348,0.542,1594.6,15.6,3.56,1
B101893,0.387,0.596,1595.5,15.65,15.83,0
B101894,0.389,0.319,1625.5,27.12,19.29,1
B101895,0.356,0.735,1631.2,13.32,16.51,0
B101896,0.369,1.299,1664.7,21.36,17.27,1
B101897,0.592,0.864,1529.4,19.23,15.82,0
B101898,0.467,0.498,1601.1,26.26,8.43,0
B101899,0.365,0.754,1541.3,23.57,29.21,1
B101900,0.484,0.454,1597.2,20.73,11.98,0
B101901,0.36,0.562,1587.6,16.67,17.6,0
B101902,0.541,1.017,1597.4,8.89,11.12,1
B101903,0.444,0.548,1556.0,21.48,2.0,1
B101904,0.387,1.234,1518.2,23.18,9.45,1
B101905,0.454,0.879,1484.8,10.55,6.31,0
B101906,0.211,0.926,1592.8,12.6,21.55,0
B101907,0.265,0.816,1576.3,21.51,11.36,1
B101908,0.257,1.132,1562.8,22.03,11.92,1
B101909,0.417,1.135,1672.7,14.06,8.61,0
B101910,0.608,1.001,1552.7,16.56,15.56,0
B101911,0.668,1.069,1677.9,8.98,10.7,0
B101912,0.477,0.836,1689.3,28.26,20.95,0
B101913,0.46,1.063,1492.7,12.2,16.81,0
B101914,0.184,0.799,1605.1,23.25,11.57,1
B101915,0.335,0.901,1578.0,19.79,20.1,0
B101916,0.305,0.818,1450.0,27.74,15.05,1
B101917,0.325,0.763,1520.5,15.25,15.13,0
B101918,0.38,0.693,1642.6,20.37,6.22,0
B101919,0.343,1.04,1711.1,9.81,14.57,0
B101920,0.162,1.293,1649.6,8.37,16.93,1
B101921,0.49,1.251,1617.8,23.58,23.0,0
B101922,0.271,0.523,1598.8,9.29,10.49,1
B101923,0.429,1.287,1692.5,18.63,28.67,0
B101924,0.649,0.805,1718.2,26.07,18.34,1
B101925,0.29,1.08,1567.7,24.48,5.88,0
B101926,0.096,0.628,1490.0,16.01,9.93,1
B101927,0.366,0.943,1484.6,10.47,23.53,1
B101928,0.532,0.994,1672.7,23.06,22.46,0
B101929,0.635,0.455,1597.4,28.05,15.11,0
B101930,0.252,1.082,1610.1,16.03,15.9,0
B101931,0.46,1.304,1501.5,15.18,8.01,1
B101932,0.344,0.848,1558.6,16.85,22.93,0
B101933,0.387,1.308,1583.7,23.43,9.07,0
B101934,0.717,0.843,1611.4,27.37,20.07,1
B101935,0.22,1.155,1578.1,12.56,23.11,0
B101936,0.43,0.234,1542.9,11.01,15.29,1
B101937,0.456,1.626,1556.8,34.04,20.81,0
B101938,0.53,1.349,1666.5,18.94,26.09,1
B101939,0.412,0.815,1613.5,21.52,16.61,0
B101940,0.437,0.308,1633.7,15.85,13.95,0
B101941,0.353,0.986,1550.6,22.94,14.6,0
B101942,0.432,0.467,1450.0,25.76,10.54,1
B101943,0.359,1.033,1571.2,21.8,10.41,1
B101944,0.475,1.023,1552.3,30.45,17.65,0
B101945,0.356,0.618,1619.2,18.04,14.02,0
B101946,0.445,1.236,1750.0,18.42,16.97,1
B101947,0.396,1.142,1638.2,21.39,6.06,0
B101948,0.535,1.193,1750.0,22.79,14.44,1
B101949,0.394,0.903,1631.3,21.37,21.18,0
B101950,0.187,0.475,1565.4,12.29,8.29,0
B101951,0.551,1.193,1619.1,21.88,15.1,0
B101952,0.291,0.819,1697.9,17.75,3.87,1
B101953,0.322,0.483,1700.6,16.51,7.17,0
B101954,0.329,1.306,1568.4,20.19,19.85,0
B101955,0.565,1.53,1613.9,14.23,13.14,0
B101956,0.144,0.888,1521.4,13.19,25.93,1
B101957,0.777,1.548,1645.4,5.0,17.59,1
B101958,0.527,0.927,1685.4,30.48,18.18,0
B101959,0.427,0.786,1602.2,23.33,8.54,0
B101960,0.393,0.711,1563.3,19.3,12.69,0
B101961,0.434,1.391,1619.8,16.0,10.6,0
B101962,0.463,0.666,1623.0,5.0,8.61,0
B101963,0.477,1.121,1604.5,15.63,18.98,1
B101964,0.467,0.732,1609.8,24.3,20.19,0
B101965,0.411,0.762,1590.4,25.65,17.39,0
B101966,0.376,1.209,1654.8,23.85,10.03,0
B101967,0.382,0.786,1640.5,20.95,16.98,1
B101968,0.377,0.779,1545.9,27.82,3.52,1
B101969,0.536,1.24,1544.4,18.03,22.94,0
B101970,0.471,1.379,1586.0,26.51,7.21,0
B101971,0.05,1.093,1640.5,17.69,8.28,0
B101972,0.479,0.704,1608.1,14.71,15.69,0
B101973,0.423,0.747,1564.6,13.97,16.22,0
B101974,0.398,0.924,1614.4,13.61,14.56,0
B101975,0.353,0.996,1581.8,23.95,8.34,0
B101976,0.535,0.604,1648.4,15.54,21.8,0
B101977,0.514,1.117,1618.3,13.8,4.88,0
B101978,0.307,0.926,1582.7,24.28,6.1,0
B101979,0.449,0.385,1612.7,21.97,14.36,0
B101980,0.283,0.621,1672.3,25.78,7.41,1
B101981,0.234,0.749,1568.7,23.08,22.34,0
B101982,0.325,0.878,1622.1,15.48,7.93,0
B101983,0.503,1.467,1596.1,20.46,24.34,0
B101984,0.514,0.971,1623.5,20.75,21.21,0
B101985,0.462,0.648,1564.0,14.49,22.41,0
B101986,0.487,0.966,1606.1,13.37,26.32,0
B101987,0.462,0.794,1660.9,15.92,15.49,0
B101988,0.323,0.997,1548.5,32.22,8.92,1
B101989,0.452,1.074,1526.9,17.52,14.38,0
B101990,0.496,1.263,1529.0,27.4,11.6,1
B101991,0.491,0.893,1535.6,17.19,10.74,0
B101992,0.543,1.392,1632.7,25.33,15.91,0
B101993,0.485,1.172,1522.7,25.41,13.13,1
B101994,0.442,0.688,1583.6,25.72,10.49,0
B101995,0.528,1.563,1634.0,22.33,13.53,1
B101996,0.397,0.998,1622.9,28.26,18.29,0
B101997,0.294,0.649,1578.8,22.27,20.74,0
B101998,0.38,1.396,1610.5,30.28,5.38,0
B101999,0.311,1.523,1605.9,10.28,13.18,1
B102000,0.319,0.89,1587.7,22.09,14.15,1
B102001,0.383,0.749,1588.4,21.7,7.9,0
B102002,0.305,0.848,1722.9,14.38,14.28,1
B102003,0.363,1.114,1644.5,23.48,15.89,0
B102004,0.173,1.283,1736.4,11.06,18.11,1
B102005,0.426,1.071,1572.7,16.07,15.46,0
B102006,0.4,0.931,1595.3,8.01,9.71,0
B102007,0.302,1.349,1526.7,29.35,27.07,0
B102008,0.479,0.806,1555.5,18.61,19.97,0
B102009,0.513,1.209,1704.6,33.0,18.32,0
B102010,0.207,0.814,1571.3,24.82,21.03,0
B102011,0.308,1.029,1705.6,22.69,16.47,1
B102012,0.308,0.866,1531.6,16.48,22.72,0
B102013,0.287,0.883,1542.1,13.72,15.34,0
B102014,0.5,0.787,1581.2,23.14,15.01,0
B102015,0.377,1.303,1596.5,19.57,18.81,0
B102016,0.368,0.68,1650.8,11.96,24.46,1
B102017,0.16,0.678,1624.8,10.9,24.07,0
B102018,0.476,1.536,1577.1,14.25,18.56,0
B102019,0.251,1.193,1592.7,30.93,18.1,0
B102020,0.407,0.184,1582.5,33.28,19.18,1
B102021,0.433,0.73,1549.7,21.23,20.91,1
B102022,0.563,0.356,1551.2,20.89,22.79,1
B102023,0.243,0.615,1656.5,17.98,13.58,0
B102024,0.05,0.1,1499.5,14.39,22.91,1
B102025,0.422,0.859,1689.0,28.25,17.06,0
B102026,0.616,0.557,1581.1,31.24,18.91,1
B102027,0.549,0.918,1557.5,14.64,23.29,1
B102028,0.425,0.412,1640.7,19.5,19.48,1
B102029,0.341,0.925,1681.7,17.3,20.5,0
B102030,0.497,0.776,1661.5,17.48,12.66,1
B102031,0.283,1.351,1627.6,27.12,23.99,0
B102032,0.457,1.323,1659.8,12.13,19.17,0
B102033,0.461,1.136,1505.6,22.8,15.76,1
B102034,0.527,0.802,1571.3,24.37,21.61,0
B102035,0.731,1.496,1549.9,19.15,30.53,1
B102036,0.447,0.434,1667.4,25.36,7.99,1
B102037,0.339,0.479,1578.9,20.89,10.18,0
B102038,0.397,0.875,1646.5,27.3,31.11,1
B102039,0.188,1.576,1629.5,10.87,17.56,0
B102040,0.317,0.839,1552.6,17.91,16.15,0
B102041,0.351,0.845,1567.7,19.57,14.31,0
B102042,0.337,0.467,1671.2,5.0,22.25,0
B102043,0.418,1.184,1557.3,13.48,30.67,0
B102044,0.301,1.186,1606.9,15.12,11.01,0
